,time,open,high,low,close,volume,ticker
0,2015-01-05,8750,8790,8670,8710,273550,FPT
1,2015-01-06,8650,8770,8620,8770,364050,FPT
2,2015-01-07,8770,8960,8770,8830,405560,FPT
3,2015-01-08,8800,8830,8710,8730,227300,FPT
4,2015-01-09,8730,8840,8730,8800,320210,FPT
5,2015-01-12,8800,8970,8800,8860,679050,FPT
6,2015-01-13,8830,8900,8830,8880,242060,FPT
7,2015-01-14,8880,8910,8790,8860,421120,FPT
8,2015-01-15,8900,8900,8830,8880,281910,FPT
9,2015-01-16,8900,8900,8830,8840,174340,FPT
10,2015-01-19,8840,8840,8750,8750,367020,FPT
11,2015-01-20,8750,8790,8730,8750,344010,FPT
12,2015-01-21,8790,8900,8790,8830,607260,FPT
13,2015-01-22,8860,8860,8790,8790,299200,FPT
14,2015-01-23,8830,8880,8790,8830,386280,FPT
15,2015-01-26,8830,8880,8830,8830,384170,FPT
16,2015-01-27,8800,8860,8750,8750,424160,FPT
17,2015-01-28,8730,8800,8710,8730,260670,FPT
18,2015-01-29,8730,8750,8710,8730,224460,FPT
19,2015-01-30,8750,8770,8650,8650,587470,FPT
20,2015-02-02,8670,8710,8620,8640,219410,FPT
21,2015-02-03,8640,8650,8560,8560,207170,FPT
22,2015-02-04,8640,8640,8510,8540,307040,FPT
23,2015-02-05,8560,8650,8540,8590,182990,FPT
24,2015-02-06,8650,8650,8590,8620,114380,FPT
25,2015-02-09,8690,8690,8590,8590,145540,FPT
26,2015-02-10,8590,8620,8560,8580,143310,FPT
27,2015-02-11,8620,8650,8590,8650,139400,FPT
28,2015-02-12,8730,8790,8710,8710,435120,FPT
29,2015-02-13,8750,8790,8710,8750,198830,FPT
30,2015-02-24,8790,8900,8790,8860,351850,FPT
31,2015-02-25,8900,8940,8830,8840,520900,FPT
32,2015-02-26,8830,8940,8830,8940,276700,FPT
33,2015-02-27,8960,8990,8880,8900,314940,FPT
34,2015-03-02,8940,8940,8830,8840,471270,FPT
35,2015-03-03,8900,8910,8860,8910,214540,FPT
36,2015-03-04,8970,9210,8970,9110,993500,FPT
37,2015-03-05,9210,9290,9110,9110,393540,FPT
38,2015-03-06,9110,9210,9100,9110,335140,FPT
39,2015-03-09,9100,9110,8970,8970,414700,FPT
40,2015-03-10,9010,9070,8990,9070,328390,FPT
41,2015-03-11,9070,9070,9010,9030,293150,FPT
